Brand,Processor,RAM (GB),Screen Size (inch),Battery Life (hours),Weight (kg),Operating System,Storage_Type,Storage_Capacity,Resolution_Type,GPU_Model,Price_THB
Asus,Intel i3,8.0,14.0,4.8,1.48,macOS,SSD,256.0,HD,GTX 1650,26808.25
Asus,AMD Ryzen 7,64.0,16.0,7.5,2.53,Windows,SSD,256.0,Full HD,RX 6800,112623.70000000001
Lenovo,Intel i3,16.0,16.0,4.6,2.32,Windows,SSD,512.0,Full HD,RX 6800,44151.8
Asus,AMD Ryzen 9,8.0,13.3,8.2,2.15,FreeDOS,HDD,1.0,2K,RX 6800,65338.0
Lenovo,Intel i7,4.0,13.3,7.8,1.23,macOS,SSD,256.0,4K,,48214.95
Asus,AMD Ryzen 7,8.0,13.3,8.1,2.06,macOS,SSD,2.0,4K,GTX 1650,71091.65000000001
MSI,AMD Ryzen 3,16.0,14.0,6.2,1.22,macOS,SSD,2.0,4K,RTX 3060,74895.8
Lenovo,Intel i3,64.0,17.3,5.3,3.22,Linux,SSD,256.0,2K,RTX 3080,96287.45000000001
Lenovo,Intel i7,4.0,16.0,6.2,2.52,Windows,SSD,2.0,4K,,53372.9
Acer,AMD Ryzen 3,32.0,17.3,6.3,2.12,Windows,SSD,2.0,2K,RX 6800,67573.45
Asus,AMD Ryzen 7,8.0,16.0,7.8,1.67,macOS,HDD,1.0,Full HD,RTX 3080,44374.399999999994
Apple,Intel i5,64.0,14.0,10.9,2.25,Windows,SSD,512.0,4K,RTX 3080,201906.25
Dell,AMD Ryzen 3,8.0,13.3,4.3,2.5,macOS,SSD,512.0,2K,RTX 3060,33299.0
Samsung,AMD Ryzen 5,8.0,14.0,9.4,2.01,Linux,HDD,1.0,HD,RX 6800,21882.0
Microsoft,Intel i9,16.0,17.3,4.4,1.87,FreeDOS,SSD,512.0,Full HD,GTX 1650,73981.95
HP,AMD Ryzen 7,4.0,15.6,9.7,1.9,FreeDOS,SSD,2.0,Full HD,GTX 1650,45851.049999999996
Microsoft,AMD Ryzen 7,32.0,14.0,7.0,1.44,macOS,SSD,2.0,4K,RTX 3060,115025.75
HP,AMD Ryzen 9,8.0,14.0,5.1,1.76,Windows,SSD,256.0,2K,GTX 1650,72827.65
Asus,Intel i5,16.0,16.0,6.6,3.11,macOS,SSD,1.0,Full HD,GTX 1650,44748.9
Razer,Intel i9,16.0,14.0,4.6,2.47,FreeDOS,SSD,256.0,4K,,104861.4
HP,Intel i7,4.0,16.0,10.1,1.57,Windows,HDD,1.0,HD,GTX 1650,30497.25
Acer,Intel i3,64.0,15.6,11.2,2.55,Linux,SSD,512.0,2K,RX 6600,96895.40000000001
Microsoft,Intel i7,32.0,17.3,4.3,1.72,Linux,SSD,256.0,4K,RX 6800,131088.65
Dell,Intel i9,32.0,14.0,6.1,3.06,macOS,HDD,1.0,4K,RTX 2060,124468.4
Asus,AMD Ryzen 5,4.0,14.0,7.8,3.06,macOS,SSD,2.0,HD,RX 6800,27393.1
Samsung,Intel i3,8.0,14.0,7.2,2.54,FreeDOS,SSD,512.0,HD,RX 6600,30216.9
MSI,Intel i3,8.0,13.3,5.9,1.33,macOS,SSD,512.0,4K,RX 6600,62466.95
Lenovo,Intel i3,4.0,16.0,7.2,3.43,macOS,SSD,1.0,2K,RTX 3060,40772.9
Microsoft,Intel i3,8.0,14.0,9.6,1.83,Windows,HDD,1.0,4K,GTX 1650,43676.850000000006
Asus,Intel i9,32.0,16.0,8.3,2.8,Windows,SSD,512.0,HD,RTX 2060,86833.6
Acer,AMD Ryzen 7,8.0,13.3,10.7,1.84,macOS,SSD,512.0,HD,RTX 2060,40586.7
Asus,AMD Ryzen 7,16.0,15.6,4.7,1.46,Windows,SSD,2.0,2K,RTX 3080,68147.45
Microsoft,Intel i7,32.0,16.0,11.8,1.48,FreeDOS,SSD,2.0,Full HD,RX 6600,73976.7
Acer,AMD Ryzen 3,64.0,17.3,9.9,1.69,Windows,HDD,1.0,HD,RTX 2060,52031.35
Apple,AMD Ryzen 9,4.0,13.3,11.2,1.61,Windows,SSD,2.0,2K,,63157.15
Lenovo,AMD Ryzen 5,4.0,14.0,11.2,3.02,FreeDOS,SSD,512.0,HD,RX 6600,24197.25
Asus,AMD Ryzen 5,8.0,13.3,8.5,1.42,FreeDOS,SSD,1.0,HD,RTX 3080,27636.350000000002
Razer,AMD Ryzen 7,8.0,13.3,4.1,1.44,Linux,SSD,2.0,2K,RX 6600,80924.9
Dell,AMD Ryzen 5,32.0,16.0,4.2,1.52,macOS,SSD,2.0,Full HD,RTX 3060,61213.950000000004
Apple,Intel i9,16.0,16.0,9.4,2.65,FreeDOS,HDD,1.0,2K,RX 6800,120012.90000000001
Dell,AMD Ryzen 3,8.0,14.0,9.4,1.69,macOS,SSD,1.0,4K,RTX 3060,46917.15
Asus,Intel i5,16.0,15.6,6.4,3.31,macOS,SSD,1.0,4K,RTX 3060,74220.65000000001
Apple,AMD Ryzen 3,32.0,15.6,8.6,2.55,macOS,SSD,2.0,4K,RTX 3080,122392.54999999999
Samsung,Intel i3,8.0,17.3,10.1,2.45,Linux,SSD,256.0,Full HD,RTX 3080,34026.65
Lenovo,AMD Ryzen 5,64.0,14.0,11.5,1.51,macOS,SSD,512.0,2K,RX 6800,106333.5
Asus,AMD Ryzen 7,64.0,17.3,7.9,1.77,Windows,SSD,1.0,HD,RTX 3080,97773.9
Asus,Intel i7,64.0,15.6,10.5,2.43,Windows,SSD,256.0,HD,RTX 3060,98762.3
Apple,Intel i5,32.0,17.3,7.1,1.73,Windows,SSD,1.0,HD,,54213.25
Dell,AMD Ryzen 5,4.0,15.6,11.8,3.45,FreeDOS,SSD,1.0,2K,,33678.75
Razer,AMD Ryzen 7,32.0,16.0,10.7,1.7,macOS,SSD,256.0,4K,RTX 3080,181077.05000000002
Dell,Intel i5,64.0,14.0,10.1,1.78,FreeDOS,SSD,256.0,Full HD,RX 6600,78411.20000000001
MSI,AMD Ryzen 3,16.0,17.3,10.8,2.82,Windows,SSD,512.0,4K,RX 6800,82418.0
Acer,Intel i7,8.0,15.6,5.8,1.52,,SSD,256.0,4K,RTX 3080,82532.09999999999
HP,AMD Ryzen 7,64.0,14.0,6.7,1.48,Linux,SSD,256.0,4K,RX 6800,168456.4
MSI,AMD Ryzen 5,64.0,15.6,10.8,3.22,FreeDOS,SSD,512.0,HD,RX 6800,97746.95
Microsoft,Intel i3,32.0,17.3,4.5,2.95,Linux,SSD,1.0,4K,RTX 3060,89863.2
HP,,8.0,17.3,5.3,1.97,FreeDOS,SSD,256.0,Full HD,RTX 3060,32019.4
Microsoft,Intel i7,4.0,17.3,11.0,2.44,Windows,SSD,1.0,2K,RTX 3080,56083.65
Microsoft,AMD Ryzen 9,64.0,17.3,9.5,2.99,Linux,SSD,256.0,Full HD,,102301.84999999999
HP,AMD Ryzen 3,8.0,16.0,11.0,2.82,FreeDOS,SSD,256.0,Full HD,GTX 1650,30574.95
MSI,Intel i3,4.0,13.3,5.5,1.38,FreeDOS,SSD,2.0,2K,RTX 2060,39182.85
Lenovo,Intel i9,32.0,15.6,9.2,1.61,FreeDOS,SSD,256.0,4K,GTX 1650,170014.25
MSI,AMD Ryzen 5,8.0,16.0,5.8,2.48,macOS,HDD,1.0,4K,,49250.950000000004
Lenovo,Intel i7,4.0,16.0,5.4,1.75,Windows,SSD,2.0,HD,RX 6800,32863.6
Asus,AMD Ryzen 5,4.0,17.3,9.2,3.3,Linux,SSD,2.0,4K,RTX 3060,54781.65
Lenovo,AMD Ryzen 3,64.0,13.3,10.9,1.99,FreeDOS,SSD,256.0,4K,RX 6600,119786.45
Samsung,AMD Ryzen 3,64.0,14.0,7.5,1.91,Linux,SSD,512.0,2K,GTX 1650,86759.05
Razer,AMD Ryzen 9,16.0,16.0,10.5,1.88,FreeDOS,SSD,1.0,Full HD,RTX 3060,111330.8
Microsoft,AMD Ryzen 7,8.0,16.0,5.7,2.82,Linux,SSD,2.0,2K,RX 6800,59389.049999999996
Asus,AMD Ryzen 7,16.0,15.6,10.6,1.81,FreeDOS,SSD,512.0,4K,RTX 3060,94047.09999999999
HP,Intel i3,4.0,14.0,4.9,2.04,macOS,HDD,1.0,2K,RX 6600,32277.350000000002
Razer,Intel i3,32.0,14.0,4.9,3.2,FreeDOS,HDD,1.0,Full HD,RX 6600,52130.05
Razer,AMD Ryzen 7,64.0,14.0,10.1,2.8,Linux,HDD,1.0,4K,RX 6800,201836.95
Asus,AMD Ryzen 3,32.0,16.0,4.4,1.75,Windows,SSD,1.0,4K,RTX 3080,87164.34999999999
MSI,Intel i9,64.0,17.3,4.7,1.38,FreeDOS,SSD,512.0,2K,,164708.95
Lenovo,Intel i7,64.0,16.0,8.0,2.14,macOS,SSD,512.0,2K,RX 6800,141273.30000000002
MSI,AMD Ryzen 3,4.0,16.0,6.5,1.89,Windows,HDD,1.0,2K,GTX 1650,44161.95
Samsung,AMD Ryzen 5,8.0,17.3,11.0,2.66,Linux,HDD,1.0,HD,,21715.4
HP,Intel i5,32.0,13.3,7.4,2.7,Linux,SSD,2.0,4K,GTX 1650,87532.90000000001
Lenovo,Intel i9,32.0,15.6,10.9,3.17,Windows,SSD,2.0,HD,RTX 2060,85089.9
Asus,Intel i5,4.0,14.0,11.5,3.43,macOS,SSD,1.0,2K,RTX 3080,42603.4
MSI,Intel i5,4.0,16.0,5.8,2.4,Linux,SSD,512.0,HD,RX 6800,33412.75
HP,AMD Ryzen 5,8.0,17.3,5.7,3.07,FreeDOS,SSD,1.0,Full HD,GTX 1650,43765.05
Acer,AMD Ryzen 5,64.0,17.3,6.3,1.37,,SSD,512.0,2K,RTX 3060,119055.65000000001
HP,AMD Ryzen 7,64.0,13.3,4.3,1.31,FreeDOS,SSD,1.0,Full HD,,71447.95
Lenovo,Intel i9,64.0,13.3,,2.99,macOS,SSD,1.0,2K,RTX 3080,174856.15000000002
HP,AMD Ryzen 7,4.0,15.6,7.1,2.63,macOS,HDD,1.0,HD,GTX 1650,27208.3
Acer,Intel i5,8.0,16.0,11.7,3.27,Windows,SSD,2.0,4K,RX 6800,68921.65000000001
Apple,Intel i5,8.0,14.0,5.2,2.1,Linux,SSD,256.0,4K,RTX 2060,91260.40000000001
Microsoft,Intel i9,16.0,15.6,11.3,1.81,macOS,HDD,1.0,Full HD,RTX 3060,62164.55
Microsoft,AMD Ryzen 9,32.0,13.3,11.8,1.28,Linux,SSD,1.0,Full HD,RTX 3080,95249.0
HP,AMD Ryzen 5,16.0,16.0,8.9,1.75,Windows,SSD,512.0,HD,RX 6600,35565.6
Acer,AMD Ryzen 3,4.0,15.6,7.8,1.66,FreeDOS,SSD,1.0,Full HD,,20665.75
Razer,Intel i9,8.0,15.6,8.7,2.78,Linux,SSD,1.0,Full HD,RTX 2060,89236.0
Asus,AMD Ryzen 3,32.0,17.3,11.9,1.63,FreeDOS,SSD,512.0,Full HD,RTX 2060,56319.9
Acer,AMD Ryzen 7,64.0,16.0,6.5,2.09,Linux,SSD,2.0,4K,RX 6800,191931.25
Dell,AMD Ryzen 3,8.0,15.6,5.5,1.28,Linux,SSD,1.0,HD,RTX 3060,25487.0
Acer,Intel i3,4.0,13.3,8.9,3.45,Windows,SSD,1.0,HD,GTX 1650,19095.300000000003
Apple,Intel i5,16.0,17.3,11.6,2.83,Linux,SSD,512.0,Other,,38222.799999999996
Razer,Intel i3,8.0,17.3,11.7,1.76,FreeDOS,SSD,1.0,2K,RX 6600,57457.4
Razer,Intel i9,16.0,17.3,4.5,2.85,FreeDOS,SSD,512.0,Full HD,RTX 3080,107329.95000000001
Samsung,AMD Ryzen 9,32.0,15.6,6.4,3.01,Linux,SSD,512.0,HD,,60755.1
Asus,AMD Ryzen 9,8.0,14.0,8.0,1.77,Windows,SSD,512.0,4K,RTX 3080,101355.1
Samsung,AMD Ryzen 9,4.0,14.0,4.4,2.52,macOS,HDD,1.0,4K,RX 6600,72545.55
Dell,AMD Ryzen 7,16.0,14.0,4.6,3.22,FreeDOS,SSD,2.0,HD,GTX 1650,41244.0
Apple,AMD Ryzen 9,16.0,13.3,11.4,1.79,FreeDOS,SSD,1.0,4K,RX 6600,172133.84999999998
Microsoft,AMD Ryzen 5,64.0,17.3,11.4,2.12,Windows,SSD,512.0,4K,GTX 1650,152208.0
Samsung,AMD Ryzen 3,4.0,14.0,6.6,2.82,macOS,SSD,512.0,Full HD,GTX 1650,25720.8
Razer,Intel i5,4.0,16.0,6.6,2.83,Windows,SSD,512.0,Full HD,RX 6800,47929.700000000004
Acer,AMD Ryzen 3,64.0,15.6,7.6,1.8,FreeDOS,SSD,1.0,4K,,88600.75
Samsung,Intel i7,16.0,17.3,10.4,1.42,Windows,SSD,2.0,2K,RTX 2060,70635.6
Acer,Intel i9,32.0,15.6,11.6,2.55,Windows,SSD,512.0,HD,,57169.0
Lenovo,AMD Ryzen 7,4.0,15.6,10.4,3.1,Windows,SSD,512.0,2K,GTX 1650,53512.200000000004
Microsoft,AMD Ryzen 5,64.0,13.3,7.9,1.85,Windows,SSD,512.0,4K,RTX 3080,134606.85
Apple,AMD Ryzen 5,16.0,15.6,9.8,1.45,macOS,SSD,256.0,Full HD,RTX 3080,65251.899999999994
Apple,AMD Ryzen 3,16.0,17.3,9.2,1.94,Linux,SSD,1.0,4K,,63990.15
Apple,Intel i3,64.0,14.0,7.0,1.35,FreeDOS,SSD,512.0,2K,RX 6600,134337.69999999998
Razer,AMD Ryzen 3,32.0,16.0,5.8,1.86,FreeDOS,SSD,512.0,2K,RTX 3060,86625.0
Microsoft,AMD Ryzen 5,32.0,13.3,12.0,2.5,Windows,SSD,1.0,4K,RTX 2060,92114.05
Samsung,Intel i3,4.0,17.3,11.5,3.29,Windows,SSD,2.0,Other,,16198.699999999999
Dell,AMD Ryzen 7,16.0,13.3,9.4,2.42,FreeDOS,SSD,2.0,HD,,48345.5
Razer,AMD Ryzen 9,4.0,16.0,6.5,2.32,macOS,SSD,512.0,Full HD,RX 6600,77875.35
Acer,Intel i9,64.0,15.6,8.3,3.06,macOS,SSD,1.0,Full HD,,103973.79999999999
Asus,AMD Ryzen 3,64.0,14.0,11.1,3.26,FreeDOS,SSD,256.0,HD,RX 6600,59397.45
Acer,AMD Ryzen 3,32.0,17.3,7.1,1.41,FreeDOS,HDD,1.0,Full HD,RTX 3060,46238.149999999994
Dell,AMD Ryzen 9,32.0,16.0,6.8,2.32,Linux,SSD,256.0,2K,RX 6800,130874.45
Apple,AMD Ryzen 3,4.0,16.0,7.9,2.69,FreeDOS,SSD,2.0,Full HD,RTX 3060,39724.3
Samsung,AMD Ryzen 5,64.0,13.3,10.9,2.33,Windows,SSD,2.0,HD,GTX 1650,73697.75
HP,AMD Ryzen 9,8.0,14.0,11.8,3.28,Linux,SSD,256.0,HD,RTX 3060,50218.7
MSI,AMD Ryzen 7,4.0,17.3,10.5,1.33,FreeDOS,SSD,1.0,4K,GTX 1650,89317.2
Microsoft,Intel i5,32.0,16.0,4.3,2.42,Windows,HDD,1.0,HD,RX 6800,39133.85
Samsung,AMD Ryzen 9,16.0,16.0,6.3,1.56,Linux,SSD,2.0,4K,RX 6600,130524.8
Microsoft,Intel i3,8.0,14.0,10.4,3.06,,HDD,1.0,2K,GTX 1650,35057.75
Asus,Intel i7,16.0,14.0,4.1,2.59,Windows,SSD,2.0,4K,GTX 1650,82329.45
HP,AMD Ryzen 3,64.0,15.6,6.7,1.24,FreeDOS,SSD,1.0,Full HD,RTX 2060,75062.75
Dell,AMD Ryzen 9,4.0,14.0,6.0,2.56,Linux,HDD,1.0,2K,GTX 1650,50512.0
Acer,AMD Ryzen 3,8.0,17.3,4.4,3.49,FreeDOS,HDD,1.0,Full HD,,19415.2
Apple,Intel i5,8.0,13.3,5.7,1.24,macOS,SSD,512.0,Full HD,,38047.45
Samsung,Intel i7,16.0,14.0,11.5,3.3,FreeDOS,SSD,256.0,Full HD,,56675.15
Apple,Intel i5,64.0,17.3,9.4,2.82,FreeDOS,SSD,512.0,Full HD,RX 6600,139950.3
Apple,Intel i3,64.0,15.6,6.8,1.79,Windows,HDD,1.0,HD,,51413.950000000004
Samsung,AMD Ryzen 5,16.0,17.3,7.9,2.07,macOS,HDD,1.0,HD,RTX 3080,31799.6
HP,AMD Ryzen 9,32.0,17.3,4.2,2.36,FreeDOS,SSD,1.0,2K,RTX 3060,128367.4
Samsung,AMD Ryzen 3,16.0,15.6,4.9,2.5,Linux,SSD,256.0,2K,RX 6600,45996.65
Asus,AMD Ryzen 9,32.0,13.3,9.6,3.17,FreeDOS,SSD,1.0,HD,RX 6600,76800.15
Lenovo,AMD Ryzen 3,4.0,17.3,6.7,1.28,Linux,SSD,1.0,Full HD,RTX 2060,31517.85
Dell,AMD Ryzen 7,4.0,13.3,5.5,1.54,FreeDOS,SSD,1.0,4K,RTX 3060,60712.05
Samsung,Intel i7,16.0,13.3,9.5,2.62,Windows,SSD,512.0,4K,RX 6600,91622.3
Razer,AMD Ryzen 5,4.0,13.3,11.6,1.82,macOS,SSD,1.0,4K,RTX 3080,73084.55
Razer,Intel i7,,15.6,6.2,2.21,FreeDOS,SSD,256.0,2K,RTX 2060,193177.25
Dell,AMD Ryzen 7,4.0,15.6,7.8,2.22,Linux,SSD,1.0,2K,RTX 3080,58926.0
Microsoft,AMD Ryzen 7,4.0,13.3,11.8,1.68,Windows,SSD,1.0,Full HD,RX 6800,39586.049999999996
MSI,Intel i7,,14.0,7.2,2.87,Windows,SSD,256.0,Full HD,,31785.949999999997
Dell,AMD Ryzen 3,16.0,17.3,7.5,3.33,Windows,SSD,512.0,4K,RTX 2060,65769.2
HP,Intel i7,64.0,15.6,5.0,2.8,Linux,SSD,512.0,Full HD,,78628.9
HP,AMD Ryzen 9,64.0,14.0,6.0,2.68,FreeDOS,SSD,2.0,2K,RX 6600,169451.45
Microsoft,AMD Ryzen 7,64.0,13.3,6.2,2.79,Windows,SSD,256.0,4K,RX 6600,169993.6
Samsung,AMD Ryzen 9,64.0,14.0,8.9,2.76,macOS,SSD,1.0,HD,RTX 2060,116280.5
HP,AMD Ryzen 3,4.0,17.3,11.7,2.18,Windows,SSD,256.0,4K,,29545.949999999997
MSI,AMD Ryzen 3,64.0,15.6,4.2,3.49,FreeDOS,SSD,256.0,4K,RTX 3080,162817.9
Samsung,AMD Ryzen 3,64.0,17.3,8.6,3.08,Windows,SSD,1.0,4K,GTX 1650,124023.55
Microsoft,AMD Ryzen 7,16.0,16.0,11.3,2.64,FreeDOS,SSD,2.0,2K,,43790.25
Asus,AMD Ryzen 7,32.0,14.0,12.0,2.9,Linux,SSD,512.0,HD,RTX 3080,58511.95
Microsoft,Intel i5,32.0,13.3,8.1,1.27,FreeDOS,SSD,512.0,Full HD,RX 6600,56632.45
Asus,Intel i9,16.0,14.0,6.8,2.19,macOS,SSD,512.0,HD,RX 6600,57046.15
Microsoft,AMD Ryzen 9,64.0,15.6,5.8,2.59,Linux,SSD,1.0,4K,RX 6800,251121.15000000002
Microsoft,AMD Ryzen 7,16.0,13.3,7.4,3.17,Linux,SSD,256.0,HD,RTX 3080,42952.700000000004
Samsung,Intel i9,64.0,13.3,10.6,1.54,macOS,SSD,256.0,Full HD,RX 6800,132825.35
HP,Intel i7,8.0,15.6,11.8,2.66,Linux,SSD,2.0,4K,GTX 1650,83627.95
Asus,Intel i7,32.0,16.0,9.3,1.66,Windows,SSD,512.0,2K,GTX 1650,92731.1
Apple,AMD Ryzen 9,16.0,15.6,5.0,1.34,Windows,SSD,2.0,HD,GTX 1650,97908.3
MSI,Intel i9,8.0,14.0,9.4,3.19,macOS,SSD,2.0,4K,,85236.20000000001
Lenovo,Intel i7,64.0,16.0,11.5,2.81,macOS,SSD,256.0,4K,,126285.25
Lenovo,AMD Ryzen 3,8.0,17.3,10.9,1.67,macOS,SSD,512.0,2K,RX 6800,41903.4
Microsoft,AMD Ryzen 9,8.0,14.0,6.6,1.33,Linux,HDD,1.0,4K,RTX 3060,81499.95000000001
Acer,AMD Ryzen 5,4.0,17.3,10.7,1.3,FreeDOS,SSD,1.0,4K,RTX 3080,58125.9
Apple,Intel i7,8.0,15.6,10.9,1.95,macOS,HDD,1.0,2K,,54777.799999999996
Razer,AMD Ryzen 3,4.0,13.3,5.8,3.24,Windows,SSD,1.0,HD,RX 6800,28270.55
Microsoft,AMD Ryzen 3,16.0,17.3,9.3,1.78,Linux,HDD,1.0,HD,RTX 2060,27059.899999999998
Apple,Intel i5,4.0,13.3,5.4,2.16,Windows,HDD,1.0,2K,GTX 1650,53474.399999999994
Microsoft,AMD Ryzen 3,32.0,17.3,7.7,1.38,FreeDOS,SSD,2.0,2K,GTX 1650,67223.45
MSI,AMD Ryzen 7,8.0,14.0,11.1,2.0,Linux,HDD,1.0,Full HD,RTX 3080,42879.2
Samsung,Intel i3,64.0,14.0,8.8,3.2,FreeDOS,SSD,1.0,HD,GTX 1650,58378.950000000004
MSI,AMD Ryzen 5,32.0,16.0,11.1,3.5,FreeDOS,SSD,256.0,HD,,40633.6
Acer,Intel i5,8.0,13.3,7.4,1.51,Windows,SSD,1.0,Full HD,RX 6800,40008.5
MSI,Intel i5,32.0,16.0,7.0,3.49,Windows,SSD,512.0,2K,RX 6800,96423.95
Apple,Intel i5,8.0,16.0,6.9,3.41,Windows,SSD,256.0,4K,RTX 3060,99758.75
Asus,Intel i9,8.0,16.0,11.6,2.54,Linux,SSD,1.0,HD,GTX 1650,56256.899999999994
Apple,AMD Ryzen 7,32.0,17.3,4.6,3.25,FreeDOS,SSD,2.0,Full HD,,78868.65
MSI,AMD Ryzen 5,32.0,13.3,10.4,2.42,macOS,HDD,1.0,HD,GTX 1650,53669.700000000004
